6206;a78eb908-3043-11e5-ba12-00155d18b10d;"Винтовка эл/пневм SW-13 Barret M107 Sniper Rifle Black (SW)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/vintovka_el_pnevm_sw_13_barret_m107_sniper_rifle_black_sw/;19500
6209;a78eb90e-3043-11e5-ba12-00155d18b10d;"Гранатомет  подствольный K-55L GP25 long (Diboys) ";K-55L;https://strike-active.ru/category/oruzhie_dlya_straykbola/granatomet_podstvolnyy_k_55l_gp25_long_diboys_/;0
6210;a78eb91a-3043-11e5-ba12-00155d18b10d;"Пистолет-пулемет эл/пневм R2С VZ61 SCORPION (WELL)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/pistolet_pulemet_el_pnevm_r2s_vz61_scorpion_well/;0
6219;f4af1c6c-3206-11e5-ba12-00155d18b10d;"Автомат SMG-001 UMP EBB Version (ARES)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/avtomat_smg_001_ump_ebb_version_ares/;0
6220;f4af1c6f-3206-11e5-ba12-00155d18b10d;"Автомат эл/пневматич UMP sports line version Black (S&T)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/avtomat_el_pnevmatich_ump_sports_line_version_black_s_t/;8000
6221;f4af1c71-3206-11e5-ba12-00155d18b10d;"Автомат эл/пневматич BERETTA ARX 160  Sportsline Black (S&T)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/avtomat_el_pnevmatich_beretta_arx_160_sportsline_black_s_t/;0
6224;f4af1c7a-3206-11e5-ba12-00155d18b10d;"Пулемет эл/пневматич R85A1 (Army)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/pulemet_el_pnevmatich_r85a1_army/;0
6225;f4af1c7d-3206-11e5-ba12-00155d18b10d;"Пулемет эл/пневматич ZB26 (Apple)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/pulemet_el_pnevmatich_zb26_apple/;0
6226;f4af1c80-3206-11e5-ba12-00155d18b10d;"Автомат эл/пневматич AUG-A3 Tactical Model w Tactical RIS Hand guard (780mm) (Arrow Dynamic)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/avtomat_el_pnevmatich_aug_a3_tactical_model_w_tactical_ris_hand_guard_780mm_arrow_dynamic/;0
6227;f4af1c83-3206-11e5-ba12-00155d18b10d;"Винтовка S-3 Mosin Nagant Spring Rifle (Real Wood) with scope (PPS)";;https://strike-active.ru/category/oruzhie_dlya_straykbola/vintovka_s_3_mosin_nagant_spring_rifle_real_wood_with_scope_pps/;0
